UserId,ActivityCount,ActivityKeep,ActivityUsed,IntegralCurrentPoints,IntegralUsed,IngegralTotal,IntegralFrequency,IntegralAvgPointsDay,IntegralScanCount,IntegralScanTotal,IntegralScanFrequency,IntegralCheckinCount,IntegralCheckinFrequency,LoyaltyIsAutoLost,OrderCount,OrderFrequency,OrderItemCount,OrderAvgPrice,OrderProvinceCity,OrderAvgPoint,BabyCount,User_iCreator,ClientCode,MemberState
100220,0,0.0,0.0,0.0,0.0,3544,0.0,3.522862823,38,3534,0.0,1,0.0,1,1,0.0,1,0,-1,3336,0.0,4.0,25839.0,4
100237,0,0.0,0.0,0.0,0.0,9254,0.436,10.158068057,78,9234,4357.542,2,89.5,1,2,24.0,2,0,-1,3276,1.0,7815.0,25839.0,4
100724,0,0.0,0.0,0.0,0.0,12402,0.172,5.250635055,45,12402,1717.557,0,0.0,1,2,26.0,2,0,-1,5004,0.0,4.0,23553.0,4
100740,0,0.0,0.0,0.0,0.0,268,0.0,0.223893065,1,258,0.0,1,0.0,1,0,0.0,0,0,-1,0,1.0,2338.0,21102.0,2
100824,0,0.0,0.0,0.0,0.0,17145,0.822,12.496355685,143,17115,8218.391,3,28.33300018310547,1,5,28.0,5,0,-1,3168,0.0,4.0,20983.0,4
10088,0,0.0,0.0,0.0,0.0,3348,0.0,4.656467315,13,3348,0.0,0,0.0,1,1,0.0,1,0,-1,3456,1.0,3315.0,8534.0,4
10090,0,0.0,0.0,0.0,0.0,9768,0.581,13.585535465,36,9768,5806.452,0,0.0,1,3,21.33300018310547,3,0,-1,3256,1.0,3315.0,8534.0,4
101001,0,0.0,0.0,0.0,0.0,18716,0.281,18.494071146,85,18666,2805.281,5,13.800000190734863,1,3,65.0,3,0,-1,6192,1.0,12355.0,23633.0,4
101023,0,0.0,0.0,0.0,0.0,3822,0.189,4.819672131,14,3822,1891.892,0,0.0,1,1,0.0,1,0,-1,3576,1.0,5514.0,9163.0,4
101037,0,0.0,0.0,0.0,0.0,1532,0.0,4.197260273,6,1532,0.0,0,0.0,1,1,0.0,1,0,-1,3096,1.0,3897.0,16839.0,4
101040,0,0.0,0.0,0.0,0.0,8088,0.615,21.741935483,32,8088,6153.846,0,0.0,1,3,17.0,3,0,-1,3096,1.0,4995.0,15195.0,4
101054,0,0.0,0.0,0.0,0.0,6660,1.255,3.971377459,64,6660,12549.02,0,0.0,1,2,34.5,2,0,-1,3312,0.0,4.0,9921.0,4
101057,0,0.0,0.0,0.0,0.0,4988,0.613,13.301333333,38,4988,6129.032,0,0.0,1,1,0.0,2,0,-1,5994,1.0,2165.0,18667.0,4
10131,0,0.0,0.0,0.0,0.0,2976,0.0,7.729870129,12,2976,0.0,0,0.0,1,1,0.0,1,0,-1,2976,1.0,12772.0,20433.0,4
101563,0,0.0,0.0,0.0,0.0,7183,2.088,4.804682274,71,7163,20882.354,2,17.0,1,2,17.0,2,0,-1,3198,0.0,4.0,22920.0,4
101606,1,19377.0,1.0,0.0,0.0,298,0.0,0.365196078,1,288,0.0,1,0.0,1,1,0.0,1,0,-1,278,0.0,2.0,25839.0,2
101618,0,0.0,0.0,0.0,0.0,784,0.429,0.390827517,3,774,4285.714,1,0.0,1,0,0.0,0,0,-1,0,0.0,4.0,22995.0,4
101622,0,0.0,0.0,0.0,0.0,1149,0.0,2.476293103,11,1149,0.0,0,0.0,1,0,0.0,0,0,-1,0,1.0,2799.0,20995.0,4
101640,0,0.0,0.0,0.0,0.0,275,0.0,0.140091696,1,255,0.0,2,3.0,1,0,0.0,0,0,-1,0,0.0,4.0,9119.0,2
101653,0,0.0,0.0,0.0,0.0,1048,4.0,0.797564687,8,1048,40000.0,0,0.0,1,0,0.0,0,0,-1,0,0.0,4.0,23029.0,4
10171,0,0.0,0.0,0.0,0.0,744,0.0,0.449818621,3,744,0.0,0,0.0,1,0,0.0,0,0,-1,0,0.0,4.0,19765.0,4
101794,0,0.0,0.0,0.0,0.0,298,0.0,0.328918322,1,298,0.0,0,0.0,1,0,0.0,0,0,-1,0,0.0,3.0,25984.0,2
101997,1,16054.0,1.0,0.0,0.0,9875,0.435,12.221534653,60,9865,4347.826,1,0.0,1,4,34.5,4,0,-1,2386,2.0,0.0,25839.0,4
102008,0,0.0,0.0,0.0,0.0,3350,0.0,1.906659077,20,3350,0.0,0,0.0,1,0,0.0,0,0,-1,0,0.0,4.0,3003.0,4
102013,0,0.0,0.0,0.0,0.0,2838,0.0,7.527851458,11,2838,0.0,0,0.0,1,3,14.333000183105469,4,0,-1,2628,1.0,3218.0,18589.0,4
102031,0,0.0,0.0,0.0,0.0,3060,0.0,8.095238095,12,3060,0.0,0,0.0,1,2,21.5,2,0,-1,2220,1.0,3747.0,16898.0,4
102032,0,0.0,0.0,0.0,0.0,3078,0.0,8.142857142,12,3078,0.0,0,0.0,1,2,21.5,3,0,-1,2472,1.0,3747.0,16898.0,4
102038,0,0.0,0.0,0.0,0.0,3549,0.0,2.042002301,20,3549,0.0,0,0.0,1,1,0.0,1,0,-1,3336,0.0,4.0,3004.0,4
102039,0,0.0,0.0,0.0,0.0,3554,0.0,2.409491525,16,3554,0.0,0,0.0,1,0,0.0,0,0,-1,0,0.0,4.0,3003.0,4
102041,0,0.0,0.0,0.0,0.0,6892,0.683,18.281167108,43,6892,6825.397,0,0.0,1,2,21.5,3,0,-1,2512,1.0,3747.0,16898.0,4
102046,0,0.0,0.0,0.0,0.0,54381,0.423,53.842574257,235,54381,4234.234,0,0.0,1,0,0.0,0,0,-1,0,1.0,1231.0,2902.0,4
102047,0,0.0,0.0,0.0,0.0,6927,0.301,3.395588235,25,6927,3012.048,0,0.0,1,2,41.5,2,0,-1,3336,0.0,4.0,3057.0,4
102051,0,0.0,0.0,0.0,0.0,3336,0.0,6.964509394,12,3336,0.0,0,0.0,1,1,0.0,1,0,-1,3336,1.0,991.0,3052.0,4
102074,0,0.0,0.0,0.0,0.0,3532,0.0,7.451476793,14,3532,0.0,0,0.0,1,1,0.0,1,0,-1,3336,1.0,974.0,3057.0,4
102081,0,0.0,0.0,0.0,0.0,3620,0.877,9.402597402,50,3620,8771.93,0,0.0,1,2,1.0,2,0,-1,978,1.0,3223.0,18585.0,4
102084,0,0.0,0.0,0.0,0.0,13416,0.934,9.239669421,127,13416,9338.235,0,0.0,1,0,0.0,0,0,-1,0,1.0,3223.0,18585.0,4
102086,0,0.0,0.0,0.0,0.0,3600,0.0,9.498680738,50,3600,0.0,0,0.0,1,3,1.3329999446868896,4,0,-1,1992,1.0,1109.0,2972.0,4
102088,0,0.0,0.0,0.0,0.0,3060,0.0,7.927461139,12,3060,0.0,0,0.0,1,2,15.0,2,0,-1,3216,1.0,3255.0,17391.0,4
102096,0,0.0,0.0,0.0,0.0,720,0.0,1.925133689,4,720,0.0,0,0.0,1,2,0.0,2,0,-1,870,1.0,1109.0,2972.0,4
102097,0,0.0,0.0,0.0,0.0,6063,0.894,15.871727748,42,6063,8936.17,0,0.0,1,3,10.0,3,0,-1,3296,1.0,3255.0,17391.0,4
102098,0,0.0,0.0,0.0,0.0,4520,0.438,11.679586563,21,4520,4375.0,0,0.0,1,2,15.0,2,0,-1,3096,1.0,3255.0,17391.0,4
102110,0,0.0,0.0,0.0,0.0,288,0.0,0.753926701,4,288,0.0,0,0.0,1,3,0.0,3,0,-1,1584,1.0,1109.0,2972.0,4
102113,0,0.0,0.0,0.0,0.0,6162,0.837,14.363636363,36,6162,8372.093,0,0.0,1,1,0.0,2,0,-1,15960,1.0,1061.0,2996.0,4
102119,0,0.0,0.0,0.0,0.0,6432,0.558,15.028037383,24,6432,5581.395,0,0.0,1,1,0.0,1,0,-1,20016,1.0,1061.0,2996.0,4
102125,0,0.0,0.0,0.0,0.0,3545,0.0,8.093607305,16,3545,0.0,0,0.0,1,2,0.0,5,0,-1,2256,1.0,9542.0,13417.0,4
102127,0,0.0,0.0,0.0,0.0,3524,0.0,5.796052631,13,3524,0.0,0,0.0,1,1,0.0,1,0,-1,3216,1.0,1237.0,2895.0,4
102128,0,0.0,0.0,0.0,0.0,3572,0.667,8.345794392,14,3572,6666.667,0,0.0,1,1,0.0,1,0,-1,20016,1.0,1061.0,2996.0,4
102132,0,0.0,0.0,0.0,0.0,3492,0.0,7.414012738,17,3492,0.0,0,0.0,1,1,0.0,1,0,-1,3336,1.0,1052.0,3012.0,4
102133,0,0.0,0.0,0.0,0.0,6786,0.615,16.755555555,24,6786,6153.846,0,0.0,1,1,0.0,1,0,-1,6696,1.0,971.0,3066.0,4
102134,0,0.0,0.0,0.0,0.0,3524,0.0,2.021801491,13,3524,0.0,0,0.0,1,1,0.0,1,0,-1,3648,0.0,4.0,3066.0,4
102136,0,0.0,0.0,0.0,0.0,3600,12.5,8.294930875,50,3600,125000.0,0,0.0,1,1,0.0,1,0,-1,3456,1.0,3499.0,17268.0,4
102142,0,0.0,0.0,0.0,0.0,3450,0.0,8.194774346,31,3450,0.0,0,0.0,1,1,0.0,1,0,-1,3456,1.0,4398.0,15733.0,4
102143,0,0.0,0.0,0.0,0.0,6986,0.75,17.249382716,27,6986,7500.0,0,0.0,1,1,0.0,1,0,-1,6696,1.0,971.0,3066.0,4
102145,0,0.0,0.0,0.0,0.0,10762,1.0,24.293453724,67,10762,10000.0,0,0.0,1,2,18.5,3,0,-1,3712,1.0,971.0,3066.0,4
102154,0,0.0,0.0,0.0,0.0,3564,0.0,8.211981566,26,3564,0.0,0,0.0,1,1,0.0,1,0,-1,3240,1.0,3499.0,17268.0,4
102166,0,0.0,0.0,0.0,0.0,2976,0.0,7.22330097,12,2976,0.0,0,0.0,1,2,0.0,3,0,-1,5280,1.0,9535.0,13410.0,4
102169,0,0.0,0.0,0.0,0.0,1568,0.0,3.805825242,9,1568,0.0,0,0.0,1,3,0.0,4,0,-1,3786,1.0,9537.0,13412.0,4
102171,0,0.0,0.0,0.0,0.0,7109,1.169,17.254854368,76,7109,11692.308,0,0.0,1,2,0.0,4,0,-1,29022,1.0,969.0,3065.0,4
102185,0,0.0,0.0,0.0,0.0,3475,0.0,1.926274944,16,3475,0.0,0,0.0,1,1,0.0,1,0,-1,3336,0.0,4.0,3011.0,4
102188,0,0.0,0.0,0.0,0.0,3594,0.0,2.191463414,13,3594,0.0,0,0.0,1,0,0.0,0,0,-1,0,0.0,4.0,3054.0,4
102191,0,0.0,0.0,0.0,0.0,6940,1.857,7.13257965,26,6940,18571.43,0,0.0,1,2,6.0,2,0,-1,4182,0.0,4.0,3009.0,4
102196,0,0.0,0.0,0.0,0.0,3576,0.0,6.295774647,12,3576,0.0,0,0.0,1,1,0.0,1,0,-1,3456,1.0,1075.0,3007.0,4
102202,0,0.0,0.0,0.0,0.0,3576,0.0,6.295774647,12,3576,0.0,0,0.0,1,1,0.0,1,0,-1,3456,1.0,1075.0,3007.0,4
102203,0,0.0,0.0,0.0,0.0,8874,0.056,7.636833046,32,8874,561.404,0,0.0,1,1,0.0,1,0,-1,6672,1.0,1042.0,22597.0,4
102209,0,0.0,0.0,0.0,0.0,3264,0.0,5.560477001,13,3264,0.0,0,0.0,1,1,0.0,1,0,-1,3336,1.0,993.0,3054.0,4
102215,0,0.0,0.0,0.0,0.0,3492,0.0,6.158730158,14,3492,0.0,0,0.0,1,1,0.0,1,0,-1,3336,1.0,1042.0,22597.0,4
102218,0,0.0,0.0,0.0,0.0,6779,1.08,17.839473684,27,6779,10800.0,0,0.0,1,3,4.0,3,0,-1,2584,1.0,9573.0,13379.0,4
102233,0,0.0,0.0,0.0,0.0,3472,0.0,8.468292682,14,3472,0.0,0,0.0,1,1,0.0,1,0,-1,3336,1.0,9597.0,13356.0,4
102237,0,0.0,0.0,0.0,0.0,3576,0.0,6.295774647,12,3576,0.0,0,0.0,1,1,0.0,1,0,-1,3456,1.0,1075.0,3007.0,4
102242,0,0.0,0.0,0.0,0.0,1893,0.0,3.269430051,7,1893,0.0,0,0.0,1,2,25.0,2,0,-1,10044,1.0,1289.0,22586.0,4
102245,0,0.0,0.0,0.0,0.0,3336,0.0,6.95,12,3336,0.0,0,0.0,1,1,0.0,1,0,-1,3456,1.0,993.0,3054.0,4
102246,0,0.0,0.0,0.0,0.0,3336,0.0,5.148148148,12,3336,0.0,0,0.0,1,1,0.0,1,0,-1,3336,1.0,993.0,3054.0,4
102253,0,0.0,0.0,0.0,0.0,6952,0.559,10.811819595,33,6952,5593.22,0,0.0,1,3,19.66699981689453,4,0,-1,3357,1.0,3216.0,18591.0,4
102255,0,0.0,0.0,0.0,0.0,3521,0.0,8.672413793,39,3521,0.0,0,0.0,1,2,0.0,2,0,-1,1920,1.0,13711.0,19197.0,4
102262,0,0.0,0.0,0.0,0.0,7608,0.5,6.979816513,55,7608,5000.0,0,0.0,1,1,0.0,1,0,-1,3456,0.0,4.0,2995.0,4
102274,0,0.0,0.0,0.0,0.0,8404,0.136,11.145888594,58,8404,1355.14,0,0.0,1,2,181.5,3,0,-1,1936,1.0,8610.0,3514.0,4
102281,0,0.0,0.0,0.0,0.0,3567,0.0,2.031321184,17,3567,0.0,0,0.0,1,1,0.0,1,0,-1,3456,0.0,4.0,2994.0,4
102283,0,0.0,0.0,0.0,0.0,3382,0.0,1.932571428,14,3382,0.0,0,0.0,1,1,0.0,1,0,-1,3336,0.0,4.0,2994.0,4
102284,0,0.0,0.0,0.0,0.0,3529,0.0,2.013120365,18,3529,0.0,0,0.0,1,1,0.0,1,0,-1,3456,0.0,4.0,2994.0,4
102292,0,0.0,0.0,0.0,0.0,3551,0.0,2.024515393,15,3551,0.0,0,0.0,1,1,0.0,1,0,-1,3456,0.0,4.0,2994.0,4
102295,0,0.0,0.0,0.0,0.0,1984,0.0,3.660516605,8,1984,0.0,0,0.0,1,1,0.0,2,0,-1,972,1.0,1090.0,2975.0,4
102322,0,0.0,0.0,0.0,0.0,6170,1.184,15.01216545,58,6170,11836.735,0,0.0,1,1,0.0,1,0,-1,864,1.0,13709.0,19199.0,4
102323,0,0.0,0.0,0.0,0.0,3496,0.0,9.224274406,17,3496,0.0,0,0.0,1,1,0.0,1,0,-1,3456,1.0,16423.0,16272.0,4
102324,0,0.0,0.0,0.0,0.0,4360,0.654,10.712530712,34,4360,6538.462,0,0.0,1,1,0.0,1,0,-1,912,1.0,13709.0,19199.0,4
102350,0,0.0,0.0,0.0,0.0,3576,0.0,7.592356687,12,3576,0.0,0,0.0,1,1,0.0,1,0,-1,3576,0.0,3.0,25984.0,4
102360,0,0.0,0.0,0.0,0.0,23393,0.576,9.853833192,118,23343,5756.098,5,18.399999618530277,1,6,25.0,7,0,-1,3206,0.0,4.0,3026.0,4
102361,0,0.0,0.0,0.0,0.0,32157,0.223,13.545492839,162,32117,2234.483,4,30.75,1,10,72.4000015258789,10,0,-1,3253,0.0,4.0,3025.0,4
102379,0,0.0,0.0,0.0,0.0,34218,0.242,39.331034482,129,34218,2420.263,0,0.0,1,1,0.0,1,0,-1,3216,1.0,1067.0,3001.0,4
102388,0,0.0,0.0,0.0,0.0,1190,0.0,2.833333333,13,1190,0.0,0,0.0,1,1,0.0,1,0,-1,1080,1.0,1068.0,3002.0,4
102397,0,0.0,0.0,0.0,0.0,7083,14.25,18.888,57,7083,142500.0,0,0.0,1,1,0.0,5,0,-1,2287,1.0,1172.0,2926.0,4
102399,0,0.0,0.0,0.0,0.0,6603,0.115,9.107586206,39,6603,1153.846,0,0.0,1,0,0.0,0,0,-1,0,1.0,1066.0,3000.0,4
102403,0,0.0,0.0,0.0,0.0,3400,0.0,8.831168831,16,3400,0.0,0,0.0,1,1,0.0,1,0,-1,3336,1.0,1068.0,3002.0,4
102406,0,0.0,0.0,0.0,0.0,2232,0.0,5.82767624,9,2232,0.0,0,0.0,1,1,0.0,1,0,-1,2976,1.0,8512.0,4027.0,4
102407,0,0.0,0.0,0.0,0.0,3035,0.0,3.496543778,30,3035,0.0,0,0.0,1,1,0.0,1,0,-1,2976,0.0,4.0,3067.0,4
102411,0,0.0,0.0,0.0,0.0,13644,0.641,8.712643678,141,13644,6409.091,0,0.0,1,2,16.5,3,0,-1,1708,0.0,4.0,2911.0,4
102414,0,0.0,0.0,0.0,0.0,3484,0.0,8.979381443,13,3484,0.0,0,0.0,1,1,0.0,2,0,-1,4080,1.0,3732.0,16907.0,4
102438,0,0.0,0.0,0.0,0.0,7913,1.079,9.331367924,68,7903,10793.651,1,0.0,1,3,5.333000183105469,3,0,-1,2800,1.0,1211.0,2908.0,4
102440,0,0.0,0.0,0.0,0.0,3506,0.0,1.942382271,27,3506,0.0,0,0.0,1,1,0.0,1,0,-1,3456,0.0,4.0,3064.0,4
102445,0,0.0,0.0,0.0,0.0,3376,0.0,1.990566037,12,3376,0.0,0,0.0,1,1,0.0,1,0,-1,3336,0.0,4.0,3064.0,4
102446,0,0.0,0.0,0.0,0.0,6682,0.045,4.877372262,25,6672,454.545,1,0.0,1,1,0.0,1,0,-1,3336,1.0,3228.0,18582.0,4
102449,0,0.0,0.0,0.0,0.0,7092,0.763,18.045801526,29,7092,7631.579,0,0.0,1,1,0.0,2,0,-1,3396,1.0,8433.0,4087.0,4
102451,0,0.0,0.0,0.0,0.0,8094,0.053,9.3141542,30,8094,531.915,0,0.0,1,2,13.0,2,0,-1,10956,1.0,0.0,3064.0,4
102455,0,0.0,0.0,0.0,0.0,3419,0.0,2.015919811,34,3419,0.0,0,0.0,1,1,0.0,1,0,-1,3336,0.0,4.0,3064.0,4
102456,0,0.0,0.0,0.0,0.0,2338,0.0,5.904040404,10,2338,0.0,0,0.0,1,1,0.0,1,0,-1,3576,1.0,4041.0,16784.0,4
102458,0,0.0,0.0,0.0,0.0,3579,0.0,3.307763401,22,3579,0.0,0,0.0,1,1,0.0,1,0,-1,3576,0.0,4.0,2888.0,4
102471,0,0.0,0.0,0.0,0.0,32371,0.175,30.196828358,117,32291,1748.879,8,44.125,1,5,127.0,5,0,-1,5482,1.0,1302.0,2855.0,4
102497,0,0.0,0.0,0.0,0.0,5201,0.615,14.133152173,24,5201,6153.846,0,0.0,1,2,19.0,2,0,-1,3096,1.0,4420.0,15729.0,4
102498,0,0.0,0.0,0.0,0.0,3346,0.0,9.067750677,23,3346,0.0,0,0.0,1,1,0.0,4,0,-1,2193,1.0,4419.0,15730.0,4
102499,0,0.0,0.0,0.0,0.0,3459,0.0,8.937984496,21,3459,0.0,0,0.0,1,1,0.0,2,0,-1,4704,1.0,4419.0,15730.0,4
1025,0,0.0,0.0,0.0,0.0,2982,0.0,2.389423076,29,2982,0.0,0,0.0,1,1,0.0,1,0,-1,2976,0.0,4.0,23810.0,4
102502,0,0.0,0.0,0.0,0.0,3163,0.0,7.076062639,16,3163,0.0,0,0.0,1,1,0.0,1,0,-1,3216,1.0,4420.0,15729.0,4
